text,label
Are we clear to start engine number one,Preflight
Are we clear to start engine number 1?,Preflight
Push back is complete. Could you set your brake?,Preflight
Parking brake is set. You may disconnect.,Preflight
Cabin is ready for takeoff,Preflight
"Threats today, there is a low transition altitude ",Preflight
Confirm all ground checks are complete and we are ready for pressurising hydraulics,Preflight
"All ground checks are completed, panels are locked, lock steering pin is in.",Preflight
Toe bar is connected and we are ready for pushback,Preflight
Taxi and takeoff briefing is completed,Preflight
"Ground department, we just finished our push back.",Preflight
"Parking brake is set, starting engine number 2.",Preflight
Engine number 2 clear for starting,Preflight
Flight control check,Preflight
"Full left, Full right, neutral",Preflight
"Radar, Full left, Full right, neutral",Preflight
"Copy, I start with the thing and then push back facing north and clear to start the engine.",Preflight
"Pushback approved, facing north, Euro-Inx-E, Foxtrot.",Preflight
"Pushback approved, facing south, Runway 27L, Taxi via Bravo.",Preflight
"Pushback approved, facing east, Spot 45, Taxi via Alpha and Charlie.",Preflight
"Cleared for pushback, facing west, Stand Gate 12, Taxi via Mike.",Preflight
"Engine start approved, expect runway 31, Squawk 4621.",Preflight
"Start-up approved, QNH 1012, Gate C17, Squawk 3605.",Preflight
Ground cockpit.. Yes.,Preflight
We want to start engine one now.,Preflight
Are we clear to start engine one?,Preflight
Is engine one clear to start,Preflight
Requesting engine one start,Preflight
We want to start engine 1 now.,Preflight
Are we clear to start engine 1?,Preflight
Is engine 1 clear to start,Preflight
Requesting engine 1 start,Preflight
We want to start engine two now.,Preflight
Are we clear to start engine two?,Preflight
Is engine two clear to start,Preflight
Requesting engine two start,Preflight
We want to start engine 2 now.,Preflight
Are we clear to start engine 2?,Preflight
Is engine 2 clear to start,Preflight
Requesting engine 2 start,Preflight
Flight control check.,Preflight
"Follow right, Neutral, Full left.",Preflight
Full right.. Neutral.,Preflight
Radar.. Full left.,Preflight
So I've seen his clear side and the pin.,Preflight
You're clear to disconnect.,Preflight
We are ready for push at any time.,Preflight
We can start the engines at any time when they are ready.,Preflight
"First two, then one.",Preflight
"First 2, then 1.",Preflight
"First 1, then 2.",Preflight
"First one, then two.",Preflight
"First engine one, then engine two.",Preflight
"First engine 1, then engine 2.",Preflight
"First engine 2, then engine 1.",Preflight
"at least the engines are cold right now, so it won't take that long to start up.",Preflight
Brake is released,Preflight
"Break is released, ready for pushback",Preflight
So ground cockpit.,Preflight
Ground cockpit check.,Preflight
"Flight control check, Full up.. Full down.",Preflight
Full up.. Full down.,Preflight
Neutral.. Full left.,Preflight
Full right.. Neutral.,Preflight
And radar check.,Preflight
Full left.. Full right. Neutral..,Preflight
"So just waiting for the clear sign, he's coming to disconnect.",Preflight
He's coming to disconnect.,Preflight
Ground staff going to disconnect,Preflight
Anti-ice.. Is off.,Preflight
Anti-ice.. Is off.,Preflight
Cockpit on board.,Preflight
"After start checklist, Anti-ice.. Is off.",Preflight
"After start checklist, Anti-ice.. Is off. Aircraft status.. Is checked.",Preflight
Pitch trim.. 24.9%.,Preflight
Radar trim.. Neutral.,Preflight
Aircraft status.. Is checked.,Preflight
Pitch trim.. 28.9%.,Preflight
Pitch trim.. 27.0%.,Preflight
"Any failure below V1, our call stop or continue.",Preflight
Oxygen.. Tested 100 percent.,Preflight
Flight instruments..,Preflight
Briefings.. Completed.. Pre-flight checklist complete.,Preflight
V1 one seven six VR one eight one V2 one eight one.,Preflight
"ATC nine zero one push back and start approved face the east,",Preflight
OK.. Before start checklist is complete.,Preflight
Okay.. Before start checklist is complete.,Preflight
" Okay, we cleared the push and start facing east.",Preflight
"Yes Captain, clear to start engines.",Preflight
"push back up, we can set the parking brakes on.",Preflight
"Okay Captain.. Okay, we'll start at 1.",Preflight
You're clear to disconnect.,Preflight
"V1, 167, VR, 170, V2, 171, VR 30, 151.",Preflight
I would like to welcome you on board this Airbus A320 on our way to Palma de Mallorca.,Preflight
"You can see that on the right side. As soon as it is closed, we will fly for about two hours.",Preflight
The bridge is still connected.,Preflight
Before takeoff checklist please,Preflight
"B4 Start checklist, please.",Preflight
B4 Start checklist complete,Preflight
Ground cockpit.. Yes.,Preflight
"Start and push approved, facing north,",Preflight
"So the bridge is moving, perfect",Preflight
They are moving the bridge. It will take few more minutes,Preflight
"Passengers boarded, They are now moving the bridges",Preflight
"Passengers boarded, They are now moving the bridge",Preflight
Beacon is turned on.,Preflight
Beacon light is on.,Preflight
Beacon turned on,Preflight
"Ground cockpit. Yeah, the cockpit. Okay. Parking brake is set. Are you ready for push? I lift up. Okay. Very good.",Preflight
The brake is released and standby please. Copy.,Preflight
"Okay, cockpit.. Pushback approved, face west, 470.",Preflight
"Okay, let's do briefing.",Preflight
"Okay,So in this pushback position, there is no hotspots, but as you said before, it is a busy airport, so we have to watch out.",Preflight
Aircraft moving to runway via taxiway,Taxi-out
Following ground controller instructions for taxi,Taxi-out
Holding short of active runway,Taxi-out
Taxiing to runway,Taxi-out
Completed before takeoff checklist,Taxi-out
Waiting in queue for takeoff clearance,Taxi-out
Crossing runway [MASK] during taxi,Taxi-out
Following the yellow taxi lines,Taxi-out
"De-icing complete, proceeding to runway",Taxi-out
Line up and wait instruction received,Taxi-out
Position and hold on runway,Taxi-out
Taxi-out clearance received from ATC,Taxi-out
Towbar disconnected,Taxi-out
"Aircraft aligned on taxiway after Taxi-out,  ground crew signals complete",Taxi-out
Final checks performed after Taxi-out,Taxi-out
Ground crew salutes before leaving,Taxi-out
Taxi clearance acknowledged by pilot,Taxi-out
Aircraft taxiing along designated taxiway,Taxi-out
Crossing intersection while taxiing,Taxi-out
Brakes tested during taxi-out,Taxi-out
Aircraft approaching holding point,Taxi-out
Hold short instruction from ATC received,Taxi-out
Runway crossing approved by tower,Taxi-out
Taxi lights on during movement,Taxi-out
Aircraft waiting in queue for departure,Taxi-out
Request taxi,Taxi-out
Hotel and alpha to holding point runway 24,Taxi-out
We could wait to the takeoff now,Taxi-out
Before we take off,Taxi-out
We have another look onto the radar screen and see what's going on,Taxi-out
"Yeah, tower, good morning again, you're in 6RV, ready for departure",Taxi-out
"Cleared for takeoff in [MASK] degrees, [MASK] knots",Taxi-out
Line up and cleared for takeoff runway,Taxi-out
Taxi checklist,Taxi-out
Taxi checklist complete,Taxi-out
Flight controls checked,Taxi-out
Cabin crew prepare for departure,Taxi-out
we have cleared line up and takeoff,Taxi-out
"Taxi via Lima [MASK], Mike, enter Lima [MASK], holding point runway [MASK]",Taxi-out
Cleared to line up,Taxi-out
"[MASK], in sequence, line up and wait, runway [MASK]",Taxi-out
"Taxi via alpha, bravo, hold short runway 27L",Taxi-out
"[MASK], taxi to runway [MASK] via taxiway [MASK]",Taxi-out
Hold short of runway [MASK] for crossing traffic,Taxi-out
"Taxi with caution, work in progress near taxiway [MASK]",Taxi-out
"Expedite taxi, traffic following",Taxi-out
Give way to A380 on your left,Taxi-out
Follow the Boeing 737 ahead,Taxi-out
Turn next right on taxiway charlie,Taxi-out
Monitor ground control on [MASK],Taxi-out
Contact tower at holding point,Taxi-out
Holding point alpha for runway [MASK],Taxi-out
Sequence number 3 for departure,Taxi-out
Expect runway [MASK],Taxi-out
Taxi into position and hold,Taxi-out
Position and hold runway [MASK],Taxi-out
"Behind landing traffic, continue taxi",Taxi-out
Brakes checked.,Taxi-out
Flaps set for taxi,Taxi-out
Strobe lights on for taxi,Taxi-out
Transponder set to altitude,Taxi-out
Cross runway [MASK] at taxiway [MASK],Taxi-out
Cleared to cross runway [MASK],Taxi-out
"No delay expected, proceed to holding point",Taxi-out
Taxi via the inner taxiway,Taxi-out
Takeoff clearance expected in [MASK] minutes,Taxi-out
Line up behind the departing aircraft,Taxi-out
"Hold position, aircraft on final",Taxi-out
"Continue taxi, traffic no factor",Taxi-out
"Taxi via echo, foxtrot to runway [MASK]",Taxi-out
"[MASK], hold short of taxiway [MASK] for departing traffic",Taxi-out
"Proceed to runway [MASK], no delay",Taxi-out
Taxi via south taxiway to runway [MASK],Taxi-out
"After the MD-11, taxi into position",Taxi-out
Hold short of the runway boundary,Taxi-out
"Runway [MASK] assigned, taxi via [MASK]",Taxi-out
Expect vectors after departure,Taxi-out
"Departure frequency [MASK], squawk [MASK]",Taxi-out
"Wind check, [MASK] knots at [MASK]",Taxi-out
"QNH [MASK], temperature [MASK]",Taxi-out
Final before takeoff checks complete,Taxi-out
"Frankfurt Ground, Lufthansa 456, request taxi",Taxi-out
"Lufthansa 456, Frankfurt Ground, taxi to holding point C, runway 25L",Taxi-out
"Taxi to holding point C, runway 25L, Lufthansa 456",Taxi-out
"SWISS 789, after the red and white Antonov with the purple fin, taxi to holding point runway 07R",Taxi-out
"After the red and white Antonov with the purple fin, taxi to holding point runway 07R, SWISS 789",Taxi-out
"Austrian Airlines 112, taxi to holding point A1, hold short of Runway 25R",Taxi-out
"Taxi to holding point A1, hold short of Runway 25R, Austrian Airlines 112",Taxi-out
"Brussels Airlines 334, cross runway 25R at A1, taxi to holding point C, runway 07L",Taxi-out
"Cross runway 25R at A1, taxi to holding point C, runway 07L, Brussels Airlines 334",Taxi-out
"Eurowings 567, after landing Airbus 321, cross Runway 25L at C2, after",Taxi-out
"After landing Airbus 321, cross Runway 25L at C2 after, Eurowings 567",Taxi-out
"Lufthansa 891, taxi to holding point C1, runway 25L",Taxi-out
"Taxi to holding point C1, runway 25L, Lufthansa 891",Taxi-out
"Air France 223, hold at C1",Taxi-out
"Hold at C1, Air France 223",Taxi-out
"British Airways 445, hold position",Taxi-out
"Holding, British Airways 445",Taxi-out
"KLM 667, hold short of runway 25L",Taxi-out
"Hold short of runway 25L, KLM 667",Taxi-out
"Iberia 889, continue taxi, follow the Lufthansa A320 ahead",Taxi-out
"Continue taxi, following Lufthansa A320 ahead, Iberia 889",Taxi-out
"Turkish Airlines 556, give way to A380 on your left",Taxi-out
"Give way to A380 on left, Turkish Airlines 556",Taxi-out
"SAS 778, expedite taxi, traffic following",Taxi-out
"Expediting taxi, SAS 778",Taxi-out
"TAP Air Portugal 990, taxi with caution, work in progress near taxiway Delta",Taxi-out
"Taxiing with caution, TAP Air Portugal 990",Taxi-out
"Lufthansa 234, turn next right on taxiway Charlie",Taxi-out
"Turn right on taxiway Charlie, Lufthansa 234",Taxi-out
"Eurowings Discover 116, monitor ground control on 121.700",Taxi-out
"Monitoring 121.700, Eurowings Discover 116",Taxi-out
"SWISS 672, contact Frankfurt Tower 118.300",Taxi-out
"Contact Frankfurt Tower 118.300, SWISS 672",Taxi-out
"Austrian Airlines 445, contact tower at holding point",Taxi-out
"Contact tower at holding point, Austrian Airlines 445",Taxi-out
"Frankfurt Tower, Lufthansa 901, approaching holding point C1",Taxi-out
"Lufthansa 901, Frankfurt Tower, line up runway 25L",Taxi-out
"Lining up runway 25L, Lufthansa 901",Taxi-out
"Brussels Airlines 223, behind landing Boeing 757, line up runway 25L, behind",Taxi-out
"Behind landing Boeing 757, line up runway 25L, behind, Brussels Airlines 223",Taxi-out
"Eurowings 334, position and hold runway 25L",Taxi-out
"Position and hold runway 25L, Eurowings 334",Taxi-out
"Lufthansa 556, hold position, amendment to clearance",Taxi-out
"Holding, Lufthansa 556",Taxi-out
"SWISS 889, sequence number 3 for departure",Taxi-out
"Sequence number 3, SWISS 889",Taxi-out
"Austrian Airlines 112, expect runway 25L",Taxi-out
"Expect runway 25L, Austrian Airlines 112",Taxi-out
"British Airways 667, expect departure in 5 minutes",Taxi-out
"Expect departure in 5 minutes, British Airways 667",Taxi-out
Cabin is ready for departure,Taxi-out
"Mike at Lima 1, holding point 23L",Taxi-out
so we are on the way to Lima 1 now and this is exactly what we used for our takeoff performance calculation,Taxi-out
"Lima 5, Mike, Lima 1, holding point runway 23L.",Taxi-out
"Lima 1, holding point runway 23L.",Taxi-out
"Ok, Alpha Alpha 7, clear left side.",Taxi-out
"I'm going to request the full length, yeah?",Taxi-out
"Alpha Alpha 7, holding point 13L, EUR30B, thank you.",Taxi-out
"Yeah, the cabin is also ready.",Taxi-out
Then I think let's take the taxi checklist before we call the tower.,Taxi-out
"Yeah, we calculated the full runway.",Taxi-out
Right.. Brake.. Check.,Taxi-out
Break performance okay.,Taxi-out
Break checked and working,Taxi-out
Breake is working as expected,Taxi-out
"Ok, Alpha Alpha 7, clear left side.",Taxi-out
Clear right side.,Taxi-out
Break check.,Taxi-out
We need to check the break.,Taxi-out
Break check is mandatory,Taxi-out
"So, ok, the brake works wonderful, it's checked.",Taxi-out
Break is really good. ,Taxi-out
Break check complete before taxi.,Taxi-out
Breaking is wounderful,Taxi-out
Break is working as expected,Taxi-out
"Yeah, the cabin is also ready.",Taxi-out
Cabin is ready for takeoff,Taxi-out
Cabin is checked.,Taxi-out
Got update from the cabin crew. Cabin is ready.,Taxi-out
Got update from the cabin crew. Cabin is ready for departure,Taxi-out
Got update from the cabin crew. Cabin is ready for takeoff,Taxi-out
taxi checklist,Taxi-out
Flight controls. Checked,Taxi-out
Flapsetting.. Config 1 plus F.,Taxi-out
"Config 1 plus F, radar predictive wind shear. Is on and auto.",Taxi-out
Engine mode selector. Normal,Taxi-out
Takeoff no blue.,Taxi-out
Cabin.. Ready.. Taxi checklist complete.,Taxi-out
"Okay, full taxi checklist.",Taxi-out
"Okay, before taxi checklist, anti-ice is auto, recalls checked, flight controls checked.",Taxi-out
And ground equipment?,Taxi-out
"EJ901, hold short runway 13R.",Taxi-out
"hold short runway 13R, taxi ahead.",Taxi-out
Ready for taxi? Affirm..,Taxi-out
"DLH245, hold short runway 25L.",Taxi-out
"DLH245, hold short runway 25L, taxi when ready.",Taxi-out
"SWR118, hold short runway 28R.",Taxi-out
"SWR118, hold short runway 28R, taxi ahead.",Taxi-out
"AUA85, hold short runway 31.",Taxi-out
"AUA85, hold short runway 31, taxi when able.",Taxi-out
"BEL209, hold short runway 07L.",Taxi-out
"BEL209, hold short runway 07L, taxi ahead.",Taxi-out
"EW611, hold short runway 24.",Taxi-out
"EW611, hold short runway 24, taxi when ready.",Taxi-out
"OCN432, hold short runway 18R.",Taxi-out
"OCN432, hold short runway 18R, taxi ahead.",Taxi-out
"CFG214, hold short runway 12.",Taxi-out
"CFG214, hold short runway 12, taxi when cleared.",Taxi-out
"DLA920, hold short runway 26L.",Taxi-out
"DLA920, hold short runway 26L, taxi ahead.",Taxi-out
"GEC845, hold short runway 33.",Taxi-out
"GEC845, hold short runway 33, taxi when ready.",Taxi-out
"BOX256, hold short runway 27R.",Taxi-out
"BOX256, hold short runway 27R, taxi ahead.",Taxi-out
He did say to hold short runway 13R.,Taxi-out
"901.. Straight ahead, straight ahead.",Taxi-out
Straight ahead.. Hold short.,Taxi-out
"Check.. Yep, hold short of the runway.",Taxi-out
He did say to hold short runway 13R.,Taxi-out
Holding short of the runway,Taxi-out
"First left, Echo 1, 4.",Taxi-out
"Check.. Lights on, please.",Taxi-out
Alright. Let's do the before takeoff checklist.,Taxi-out
Cabin occupants are seated before takeoff checklist is complete.,Taxi-out
Cabin briefing is confirmed.,Taxi-out
Clear right.. Straight right off. Checked.,Taxi-out
"Before start, parking brake.",Taxi-out
v1,Takeoff
"v1, rotate",Takeoff
"Positive rate,  landing gear retracted",Takeoff
Initial climb angle established,Takeoff
Aircraft leaving ground effect,Takeoff
Pilot monitoring calls out speed alive,Takeoff
Aircraft passing V1 decision speed,Takeoff
"Aircraft airborne, climb initiated",Takeoff
Positive climb,Takeoff
Gear up,Takeoff
Landing gear up,Takeoff
100 knots,Takeoff
Thrust set,Takeoff
Hundered knots,Takeoff
"Cleared to takeoff, [MASK]",Takeoff
Cleared takeoff,Takeoff
"Positive climb, landing gear retracted.",Takeoff
"Positive rate, gear up",Takeoff
Aircraft rotating for liftoff,Takeoff
"V2 speed achieved, climbing",Takeoff
"Runway behind us, initial climb",Takeoff
Takeoff roll commenced,Takeoff
"[MASK] knots, thrust verified",Takeoff
V1 decision speed,Takeoff
Rotation initiated,Takeoff
"Airspeed alive, taking off",Takeoff
Liftoff confirmed,Takeoff
Initial climb phase beginning,Takeoff
"Runway cleared, climbing out",Takeoff
Cleared for takeoff from tower,Takeoff
Engines spooled to takeoff power,Takeoff
Aircraft accelerating down the runway,Takeoff
"Rotate,  nose gear lifting off",Takeoff
Power set,Takeoff
Eighty knots,Takeoff
80 knots,Takeoff
Cross-check,Takeoff
Thrust levers forward,Takeoff
Takeoff thrust set,Takeoff
Engine parameters green,Takeoff
Airspeed building,Takeoff
Nose wheel steering,Takeoff
Engine pressure ratio set,Takeoff
Passing 100 knots,Takeoff
"V one, rotate",Takeoff
"V2, positive rate",Takeoff
Gear coming up,Takeoff
Gear retracting,Takeoff
Gear doors closing,Takeoff
Acceleration height,Takeoff
Clean-up,Takeoff
Runway behind,Takeoff
Terrain clearance,Takeoff
Obstacle clearance,Takeoff
Takeoff roll,Takeoff
Airspeed alive,Takeoff
Rudder authority,Takeoff
Nose coming up,Takeoff
Main gear off,Takeoff
Positive climb established,Takeoff
Power set,Takeoff
Eighty knots,Takeoff
80 knots,Takeoff
Cross-check,Takeoff
Thrust levers forward,Takeoff
Takeoff thrust set,Takeoff
Engine parameters green,Takeoff
Airspeed building,Takeoff
Nose wheel steering,Takeoff
Engine pressure ratio set,Takeoff
Passing 100 knots,Takeoff
"V1, rotate",Takeoff
"V two, positive rate",Takeoff
Gear coming up,Takeoff
Gear retracting,Takeoff
Gear doors closing,Takeoff
Acceleration height,Takeoff
Clean-up,Takeoff
Runway behind,Takeoff
Terrain clearance,Takeoff
Obstacle clearance,Takeoff
Takeoff roll,Takeoff
Airspeed alive,Takeoff
Rudder authority,Takeoff
Nose coming up,Takeoff
Main gear off,Takeoff
Positive climb established,Takeoff
"Metro Tower, Lufthansa 456, approaching holding point C1",Takeoff
"Lufthansa 456, Metro Tower, line up runway 27",Takeoff
"Lining up runway 27, Lufthansa 456",Takeoff
"Lufthansa 456, runway 27, cleared for take-off",Takeoff
"Cleared for take-off, runway 27, Lufthansa 456",Takeoff
"Eurowings 789, behind landing Boeing 757, line up runway 27, behind",Takeoff
"Behind landing Boeing 757, line up runway 27, behind, Eurowings 789",Takeoff
"British Airways 123, position and hold runway 27",Takeoff
"Position and hold runway 27, British Airways 123",Takeoff
"KLM 112, runway 27, cleared for take-off",Takeoff
"Cleared for take-off, runway 27, KLM 112",Takeoff
"Swiss 345, no delay expected, cleared for take-off",Takeoff
"Cleared for take-off, Swiss 345",Takeoff
"Iberia 901, after departure, climb to 5000 feet",Takeoff
"After departure, climb to 5000 feet, Iberia 901",Takeoff
"Singapore Airlines 246, contact Metro Radar 124.6",Takeoff
"Contact Metro Radar 124.6, Singapore Airlines 246",Takeoff
"Emirates 802, Metro Radar, radar contact",Takeoff
"American Airlines 447, maintain runway heading,",Takeoff
"Expediting climb to 5000 feet, Air Canada 556",Takeoff
"Etihad 335, cancel SID, turn right heading 180",Takeoff
"Cancel SID, right heading 180, Etihad 335",Takeoff
"Looking for traffic, Virgin Atlantic 224",Takeoff
"EgyptAir 370, contact Departure 125.250",Takeoff
"Contact Departure 125.250, EgyptAir 370",Takeoff
"ANA 115, resume normal speed",Takeoff
"Resuming normal speed, ANA 115",Takeoff
"JAL 332, cleared to FL 180",Takeoff
"Cleared to FL 180, JAL 332",Takeoff
Ready for rolling takeoff,Takeoff
"Yeah, ready for rolling takeoff",Takeoff
So ready?,Takeoff
ready takeoff.,Takeoff
And on to an ongo,Takeoff
"Eighty knots, checked. Throttle hold",Takeoff
"You are ready. A-Firm, I'm ready. Is rolling okay for you? Yeah",Takeoff
Line up checklist,Takeoff
Line up checklist complete,Takeoff
"I have control, takeoff",Takeoff
Lineup checklist.. Takeoff runway.,Takeoff
"13L, full length.",Takeoff
"13L, full length, TKAS.",Takeoff
So we are cleared for takeoff.,Takeoff
Thrust set.. One hundred knots.,Takeoff
Thrust set.. 100 knots.,Takeoff
"Lineup checklist.. Takeoff runway. 13L, full length.",Takeoff
TKAS… T-A-R-A..,Takeoff
Packs 1 and 2.. Off.,Takeoff
Lineup checklist complete.,Takeoff
"Lineup checklist.. Takeoff runway. 26H, full length.",Takeoff
"Lineup checklist.. Takeoff runway. 09R, full length.",Takeoff
"Lineup checklist.. Takeoff runway. 22L, full length.",Takeoff
"Lineup checklist.. Takeoff runway. 31C, full length.",Takeoff
"Lineup checklist.. Takeoff runway. 18R, intersection departure.",Takeoff
"Lineup checklist.. Takeoff runway. 04L, intersection departure.",Takeoff
"Lineup checklist.. Takeoff runway. 27R, full length.",Takeoff
"Lineup checklist.. Takeoff runway. 33L, full length.",Takeoff
TCAS… T-A-R-A.,Takeoff
TCAS… STANDBY.,Takeoff
TCAS… TA ONLY.,Takeoff
TCAS… OFF.,Takeoff
TCAS… TEST.,Takeoff
Packs 1 and 2.. Off.,Takeoff
Packs 1 and 2.. On.,Takeoff
"Pack 1.. Off, Pack 2.. On.",Takeoff
"Pack 1.. On, Pack 2.. Off.",Takeoff
Packs.. Set for takeoff.,Takeoff
So we are cleared for takeoff.,Takeoff
Clear for takeoff,Takeoff
Takeoff is approved from ATC.,Takeoff
ATC approved takeoff,Takeoff
Takeoff is cleared and ready to go.,Takeoff
Cleared for takeoff. Are you ready?,Takeoff
Cleared for takeoff. You are control.,Takeoff
Takeoff.. rolling takeoff okay for you?,Takeoff
Are you okay with rolling takeoff?,Takeoff
"Ready for rolling takeoff. Yep, it's fine.",Takeoff
No changes to the takeoff briefing.,Takeoff
"Trust set.. 80 knots, hold",Takeoff
"Positive climb, gear up",Takeoff
Aircraft climbing through 5000 feet,Climb
Engine thrust set to climb power,Climb
"Passing transition altitude, altimeters set",Climb
Rate of climb maintained at 1500 feet per minute,Climb
Rate of climb maintained at 1800 fpm,Climb
Autopilot engaged during climb,Climb
Aircraft leveling temporarily at restriction altitude,Climb
Climb checklist completed by crew,Climb
"Passing flight level 180, seatbelt remain on",Climb
"Passing FL 240, seatbelt signs remain on",Climb
Aircraft cleared to higher flight level,Climb
Aircraft continues steady climb,Climb
We climb level 250,Climb
Climbing to initial altitude 10000 feet,Climb
"Speed checked, flaps zero",Climb
Climbing to cruise altitude,Climb
Rate of climb 1200 feet per minute,Climb
Cleared to FL330,Climb
Cleared to flight level 280,Climb
Climbing through 8000 feet,Climb
Accelerating to climb speed,Climb
Passing transition altitude,Climb
Climb power set,Climb
Cleared to higher altitude by ATC,Climb
Climbing to assigned flight level,Climb
Engine power reduced for climb,Climb
Passing 250 knots below 10000 feet,Climb
"Reaching 10000 feet, continue climb to 15000 feet",Climb
"We are passing 12000, climbing 18000",Climb
Climbing level 300 to be leveled by ,Climb
Climb FL350,Climb
Climb flight level 270,Climb
